cpu_strategy,metric,point,low,high,n
current,savings_fraction,0.0667,0.0574,0.0679,700
current,feasible_savings,0.0263,0.0245,0.0275,700
current,cpu_utilization,0.2208,0.2018,0.2398,700
current,cpu_throttle_fraction,0.0000,0.0000,0.0000,700
current,cpu_violation_rate,0.0000,0.0000,0.0000,700
mean,savings_fraction,0.6877,0.6859,0.7408,700
mean,feasible_savings,0.0000,0.0000,0.0000,700
mean,cpu_utilization,0.7737,0.7515,0.7940,700
mean,cpu_throttle_fraction,0.0137,0.0009,0.0626,700
mean,cpu_violation_rate,0.0250,0.0250,0.0253,700
p50,savings_fraction,0.6957,0.6861,0.7497,700
p50,feasible_savings,0.0000,0.0000,0.0000,700
p50,cpu_utilization,0.8281,0.8240,0.8342,700
p50,cpu_throttle_fraction,0.0148,0.0009,0.0644,700
p50,cpu_violation_rate,0.0297,0.0292,0.0302,700
p90,savings_fraction,0.6758,0.6719,0.7311,700
p90,feasible_savings,0.0000,0.0000,0.2156,700
p90,cpu_utilization,0.7545,0.7515,0.7555,700
p90,cpu_throttle_fraction,0.0003,0.0001,0.0006,700
p90,cpu_violation_rate,0.0010,0.0007,0.0024,700
p95,savings_fraction,0.6730,0.6593,0.7229,700
p95,feasible_savings,0.0000,0.0000,0.1651,700
p95,cpu_utilization,0.6991,0.6778,0.7223,700
p95,cpu_throttle_fraction,0.0001,0.0000,0.0001,700
p95,cpu_violation_rate,0.0010,0.0007,0.0014,700
p99,savings_fraction,0.5724,0.5625,0.5865,700
p99,feasible_savings,0.1892,0.1820,0.1974,700
p99,cpu_utilization,0.5858,0.5008,0.6665,700
p99,cpu_throttle_fraction,0.0000,0.0000,0.0000,700
p99,cpu_violation_rate,0.0000,0.0000,0.0000,700
max,savings_fraction,0.2812,0.1733,0.4620,700
max,feasible_savings,0.0314,0.0297,0.0367,700
max,cpu_utilization,0.3876,0.3870,0.3887,700
max,cpu_throttle_fraction,0.0000,0.0000,0.0000,700
max,cpu_violation_rate,0.0000,0.0000,0.0000,700
