workload_class,current,mean,p50,p90,p95,p99,max
stable-cpu,1.0000,0.7500,0.7500,0.7500,0.7500,0.7500,0.8250
bursty-cpu,1.0000,0.6750,0.6750,0.7500,0.7500,0.7500,0.8750
periodic-cpu,1.0000,0.5000,0.5000,0.7500,0.7500,0.7500,0.8750
spiky-cpu,1.0000,0.7000,0.7000,0.7500,0.7500,0.7500,0.8750
stable-memory,1.0000,0.7500,0.7500,0.7500,0.7500,0.7500,0.8750
growing-memory,1.0000,0.2500,0.2500,0.5000,0.5000,0.5000,0.5250
bursty-memory,1.0000,0.0000,0.0000,0.0000,0.0000,0.7500,0.8750
sawtooth-memory,1.0000,0.0000,0.0000,0.7500,0.7500,0.7500,0.9750
mixed,1.0000,0.2500,0.2500,0.7500,0.7500,0.7500,0.8000
idle,1.0000,0.6000,0.5750,0.7500,0.7500,0.7500,0.9500
