workload_class,current,mean,p50,p90,p95,p99,max
stable-cpu,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000
bursty-cpu,0.0000,0.3361,0.3498,0.3448,0.3422,0.0000,0.0000
periodic-cpu,0.0000,0.1654,0.1733,0.0004,0.0000,0.0000,0.0000
spiky-cpu,0.0000,0.0862,0.0982,0.0860,0.0860,0.0847,0.0000
stable-memory,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
growing-memory,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bursty-memory,0.0000,0.0003,0.0003,0.0000,0.0000,0.0000,0.0000
sawtooth-memory,0.0000,0.0623,0.0643,0.0610,0.0602,0.0000,0.0000
mixed,0.0000,0.1310,0.1221,0.0003,0.0000,0.0000,0.0000
idle,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
