workload_class,cpu_strategy,memory_strategy,cpu_safety_factor,memory_safety_factor,feas,sav
stable-cpu,mean,mean,1.1500,1.1500,1.0000,0.7644
bursty-cpu,p99,current,1.0000,1.0000,1.0000,0.2610
periodic-cpu,p95,current,1.0000,1.0000,1.0000,0.2539
spiky-cpu,max,current,1.0000,1.0000,1.0000,0.1497
stable-memory,mean,mean,1.1500,1.1500,1.0000,0.6860
growing-memory,mean,p90,1.2500,1.2500,1.0000,0.5762
bursty-memory,mean,p99,1.1500,1.1500,1.0000,0.5991
sawtooth-memory,p99,p90,1.1500,1.1500,1.0000,0.2386
mixed,p95,current,1.0000,1.0000,1.0000,0.3297
idle,mean,p90,1.1500,1.1500,1.0000,0.9726
